ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS,INSTRUMENTS
GAR,,OCC-GAR-001,GAR-125,10.7,24.9988,-167.99958,NWHI,Inactive,STR
GUA,GUA-N,OCC-GUA-001,GUA-2352,23.8,13.60387,144.92395,CNMI,Active,STR
GUA,GUA-N,OCC-GUA-002,GUA-23,15.5,13.60334,144.92367,CNMI,Active,"STR, EAR, ANCHOR, CAU"
GUA,GUA-N,OCC-GUA-003,GUA-2353,5.8,13.60229,144.9234,CNMI,Active,STR
GUA,GUA-E,OCC-GUA-004,GUA-2354,24.7,13.47379,144.86602,CNMI,Active,STR
GUA,GUA-E,OCC-GUA-005,GUA-22,16.5,13.4752,144.86489,CNMI,Active,"STR, CAU"
GUA,GUA-E,OCC-GUA-006,GUA-2355,4.6,13.47596,144.86356,CNMI,Active,STR
GUA,,OCC-GUA-007,GUA-13,12.8,13.29149,144.76768,CNMI,Active,CAU
GUA,GUA-S,OCC-GUA-008,GUA-21,25.6,13.24083,144.70444,CNMI,Active,STR
GUA,GUA-S,OCC-GUA-009,GUA-21,13.7,13.24121,144.70449,CNMI,Active,"STR, ADP, PH, CTD, CAU"
GUA,GUA-S,OCC-GUA-010,GUA-2356,4.6,13.24216,144.70398,CNMI,Active,STR
GUA,GUA-S,OCC-GUA-011,GUA-2357,1.2,13.24343,144.70053,CNMI,Active,STR
GUA,,OCC-GUA-012,GUA-12,12.8,13.4488,144.62593,CNMI,Active,CAU
GUA,,OCC-GUA-013,GUA-2358,1.2,13.47556,144.69917,CNMI,Active,STR
GUA,GUA-W,OCC-GUA-014,GUA-20,25,13.52894,144.80018,CNMI,Active,STR
GUA,GUA-W,OCC-GUA-015,GUA-20,14.3,13.52896,144.80035,CNMI,Active,"STR, CAU"
GUA,GUA-W,OCC-GUA-016,GUA-20,12.5,13.52902,144.80047,CNMI,Active,"ANCHOR, STR"
GUA,GUA-W,OCC-GUA-017,GUA-2359,5.2,13.52886,144.8013,CNMI,Active,STR
GUA,,OCC-GUA-018,GUA-20,0.3,13.52902,144.80047,CNMI,Inactive,SST-STR
GUA,,OCC-GUA-019,GUA-09,8.5,13.63241,144.89296,CNMI,Inactive,STR
GUA,,OCC-GUA-020,GUA-2360,0.3,13.51902,144.79778,CNMI,Inactive,SST-STR
GUA,,OCC-GUA-021,GUA-02,14.6,13.30528,144.65307,CNMI,Inactive,CAU
GUA,,OCC-GUA-022,GUA-05,10.5,13.57865,144.82843,CNMI,Inactive,CAU
GUA,,OCC-GUA-023,GUA-08,12.9,13.4888,144.87747,CNMI,Inactive,CAU
GUG,,OCC-GUG-001,GUG-319,15.2,17.31068,145.85364,CNMI,Active,STR
GUG,GUG-W,OCC-GUG-002,GUG-320,15.8,17.30753,145.83081,CNMI,Active,STR
GUG,GUG-W,OCC-GUG-003,GUG-321,6.7,17.30734,145.83139,CNMI,Active,STR
HAW,HAW-N,OCC-HAW-001,HAW-4314,24.7,20.27026,-155.86099,MHI,Active,STR
HAW,HAW-N,OCC-HAW-002,HAW-41,14,20.26822,-155.86041,MHI,Active,"STR, CAU"
HAW,,OCC-HAW-003,HAW-44,13.1,19.74696,-155.05803,MHI,Inactive,CAU
HAW,,OCC-HAW-004,HAW-45,12.8,19.66471,-154.97473,MHI,Inactive,CAU
HAW,HAW-E,OCC-HAW-005,HAW-4315,24.4,19.48632,-154.81673,MHI,Inactive,STR
HAW,HAW-E,OCC-HAW-006,HAW-46,11.9,19.48638,-154.81766,MHI,Inactive,"STR, CAU"
HAW,HAW-S,OCC-HAW-007,HAW-4316,25.6,19.05802,-155.55022,MHI,Active,STR
HAW,HAW-S,OCC-HAW-008,HAW-48,14.9,19.06071,-155.55237,MHI,Active,"STR, CAU"
HAW,HAW-W,OCC-HAW-009,HAW-43,24.1,19.24418,-155.90043,MHI,Active,STR
HAW,HAW-W,OCC-HAW-010,HAW-43,14.3,19.2443,-155.90028,MHI,Active,"STR, ANCHOR, CAU"
HAW,HAW-W,OCC-HAW-011,HAW-4317,5.2,19.24446,-155.89974,MHI,Active,STR
HAW,,OCC-HAW-012,HAW-73,14.6,19.88457,-155.91391,MHI,Inactive,CAU
HAW,,OCC-HAW-013,HAW-49,14.6,19.93093,-155.89203,MHI,Inactive,CAU
HAW,,OCC-HAW-014,HAW-42,13.7,20.24913,-155.89095,MHI,Inactive,CAU
HAW,,OCC-HAW-015,HAW-4318,15.2,19.20991,-155.90137,MHI,Inactive,"CTD, PAR, ADP, PH"
HAW,,OCC-HAW-016,HAW-47,15.8,19.39414,-154.92416,MHI,Inactive,"EAR, STR, ANCHOR, CAU"
HAW,,OCC-HAW-017,HAW-341,17.7,19.07381,-155.90162,MHI,Inactive,"EAR, STR, ANCHOR"
HAW,,OCC-HAW-018,HAW-4319,13.7,18.92253,-155.68431,MHI,Inactive,STR
HAW,,OCC-HAW-019,HAW-06,10.1,20.19118,-155.90352,MHI,Inactive,STR
HAW,,OCC-HAW-020,HAW-705,14.3,19.13292,-155.50222,MHI,Inactive,STR
HOW,,OCC-HOW-001,HOW-13,12.8,0.81991,-176.6162,PRIA,Active,CAU
HOW,HOW-E,OCC-HOW-002,HOW-12,25,0.80941,-176.61044,PRIA,Active,STR
HOW,HOW-E,OCC-HOW-003,HOW-12,14.6,0.80936,-176.61063,PRIA,Active,"STR, CAU"
